Date,Description,Amount
2026-05-02,NETFLIX.COM 866-579-7172,-15.49
2026-05-03,SPOTIFY USA,-11.99
2026-05-05,HULU 877-485-8411 CA,-17.99
2026-05-06,LAWN PROS NAPERVILLE IL,-45.00
2026-05-08,XFINITY MOBILE,-89.99
2026-05-10,COMED ELECTRIC BILL,-142.17
2026-05-11,NICOR GAS,-64.30
2026-05-12,VERIZON WIRELESS,-72.40
2026-05-14,SIRIUSXM RADIO,-21.99
2026-05-15,AUDIBLE,-14.95
2026-05-16,LIFE TIME FITNESS,-89.00
2026-05-18,GOOGLE *ONE STORAGE,-9.99
2026-05-19,STATE FARM INSURANCE,-118.60
2026-05-20,AMERICAN RED CROSS,-25.00
2026-05-21,JEWEL OSCO #3411 NAPERVILLE,-91.40
2026-05-22,SHELL OIL 57442091,-48.10
2026-06-02,NETFLIX.COM 866-579-7172,-15.49
2026-06-03,SPOTIFY USA,-11.99
2026-06-05,HULU 877-485-8411 CA,-17.99
2026-06-06,LAWN PROS NAPERVILLE IL,-45.00
2026-06-08,XFINITY MOBILE,-89.99
2026-06-10,COMED ELECTRIC BILL,-138.02
2026-06-11,NICOR GAS,-41.15
2026-06-12,VERIZON WIRELESS,-72.40
2026-06-14,SIRIUSXM RADIO,-21.99
2026-06-15,AUDIBLE,-14.95
2026-06-16,LIFE TIME FITNESS,-89.00
2026-06-18,GOOGLE *ONE STORAGE,-9.99
2026-06-19,STATE FARM INSURANCE,-118.60
2026-06-20,AMERICAN RED CROSS,-25.00
2026-06-24,HOME DEPOT #1927,-63.77
2026-07-02,NETFLIX.COM 866-579-7172,-15.49
2026-07-03,SPOTIFY USA,-11.99
2026-07-05,HULU 877-485-8411 CA,-17.99
2026-07-06,LAWN PROS NAPERVILLE IL,-45.00
2026-07-08,XFINITY MOBILE,-89.99
2026-07-10,COMED ELECTRIC BILL,-151.30
2026-07-11,NICOR GAS,-38.90
2026-07-12,VERIZON WIRELESS,-72.40
2026-07-14,SIRIUSXM RADIO,-21.99
2026-07-15,AUDIBLE,-14.95
2026-07-16,LIFE TIME FITNESS,-89.00
2026-07-18,GOOGLE *ONE STORAGE,-9.99
2026-07-19,STATE FARM INSURANCE,-118.60
2026-07-20,AMERICAN RED CROSS,-25.00
2026-07-20,CATERPILLAR PENSION DEPOSIT,1840.00
